Price,Close,High,Low,Open,Volume
Ticker,0700.HK,0700.HK,0700.HK,0700.HK,0700.HK
Date,,,,,
2023-09-07,316.0865173339844,321.59051731133377,314.71052483824377,321.00079767190584,16724228
2023-09-11,318.44537353515625,319.8213660638998,309.9928051523209,309.9928051523209,18808064
2023-09-12,316.4796447753906,322.37678101344136,314.3173494903509,322.37678101344136,10399333
2023-09-13,314.71051025390625,320.4110631839649,313.531071029708,320.4110631839649,10662703
2023-09-14,314.3173522949219,317.06936722719934,312.9413598259763,316.87278401975584,10153112
2023-09-15,311.761962890625,316.2830768967141,311.5653796754092,314.5139479373216,19218155
2023-09-18,306.8476867675781,313.53109625744247,306.8476867675781,311.7619672731807,14736625
2023-09-19,307.0442199707031,309.40306846070877,303.5059322385017,307.43735638663975,15579978
2023-09-20,303.89910888671875,307.2408135263358,302.7196696047895,307.2408135263358,13663748
2023-09-21,297.8053894042969,303.1128061868822,296.82253333365566,301.54023047497884,19116385
2023-09-22,308.2236633300781,308.61679975126617,295.0533982567676,296.82252714930695,21236877
2023-09-25,299.181396484375,301.7368283914539,298.0019871387613,301.343691942916,18307015
2023-09-26,294.8568115234375,298.39509926059594,293.0876826520512,295.83966756184896,15924558
2023-09-27,296.822509765625,298.9848049471019,292.8910857952194,292.8910857952194,14203461
2023-09-28,292.3013916015625,297.412255204974,291.3185355235516,296.625952345933,15604031
2023-09-29,300.9505310058594,303.1127962940672,292.104826658789,292.49796307533717,11252646
2023-10-03,295.446533203125,296.8225256676075,291.3185258152912,296.8225256676075,15122710
2023-10-04,292.4979553222656,294.85680375341593,290.33566009698654,294.6602205531596,10942209
2023-10-05,294.66021728515625,298.3950880879081,293.4808080798542,294.66021728515625,10801914
2023-10-06,299.9676818847656,302.1299472228369,296.6259472810786,298.5916594035361,11076858
2023-10-09,301.73681640625,303.50594535159365,296.82253600875407,300.16424068017386,11396304
2023-10-10,302.9162292480469,309.4030548107869,300.75393406421045,302.71964605155824,16445252
2023-10-11,305.668212890625,309.20650045350914,305.0784932977469,308.616780860631,16424531
2023-10-12,311.1722412109375,311.7619608583533,309.4030822686902,311.1722412109375,13451541
2023-10-13,301.54022216796875,307.6339416358258,300.16422970585506,307.43735842935837,13367440
2023-10-16,296.0362548828125,303.50593688307515,295.05339883073725,303.50593688307515,12452816
2023-10-17,297.0191345214844,299.37798323490625,294.8568390374542,299.37798323490625,9202480
2023-10-18,294.8568115234375,296.42938718377303,292.3013798246905,295.05339472887414,12001017
2023-10-19,286.20770263671875,292.49797555298335,286.20770263671875,290.3356801781484,17216427
2023-10-20,284.04541015625,285.22484946261227,281.2934251005881,282.4728344125628,19212180
